Skenario,name,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
Skenario 1 (BM25),BM25 (Gemini LLM),0.3056,0.5098039215686274,0.6078431372549019,0.7647058823529411,0.8627450980392157,50.98,60.78,76.47,86.27
Skenario 1 (BM25),BM25 (Google NMT),0.1451,0.196078431372549,0.3529411764705882,0.5098039215686274,0.6274509803921569,19.61,35.29,50.98,62.75
Skenario 1 (BM25),BM25+RM3 (Gemini LLM),0.2988,0.4705882352941176,0.5882352941176471,0.7843137254901961,0.8235294117647058,47.06,58.82,78.43,82.35
Skenario 1 (BM25),BM25+RM3 (Google NMT),0.1572,0.2745098039215686,0.4313725490196078,0.5294117647058824,0.5686274509803921,27.45,43.14,52.94,56.86
Skenario 2 (Cross-Lingual),Baseline (DistilBERT Base),0.0083,0.0,0.0196078431372549,0.0392156862745098,0.2549019607843137,0.0,1.96,3.92,25.49
Skenario 2 (Cross-Lingual),Fine-Tuned (JH-POLO),0.0517,0.0784313725490196,0.1568627450980392,0.3529411764705882,0.6078431372549019,7.84,15.69,35.29,60.78
Skenario 2 (Cross-Lingual),Baseline (mmBERT-small),0.0218,0.0196078431372549,0.1372549019607843,0.1764705882352941,0.2549019607843137,1.96,13.73,17.65,25.49
Skenario 2 (Cross-Lingual),mmBERT-small Fine-Tuned (JH-POLO),0.1073,0.2156862745098039,0.2352941176470588,0.4313725490196078,0.6666666666666666,21.57,23.53,43.14,66.67
Skenario 2 (Cross-Lingual),Baseline (mmBERT-base),0.0104,0.0,0.0392156862745098,0.1176470588235294,0.2156862745098039,0.0,3.92,11.76,21.57
Skenario 2 (Cross-Lingual),mmBERT-base Fine-Tuned (JH-POLO),0.156,0.3529411764705882,0.4901960784313725,0.6666666666666666,0.8431372549019608,35.29,49.02,66.67,84.31
Skenario 3 (AraDPR),AraDPR (Gemini AI),0.0786,0.1568627450980392,0.2549019607843137,0.392156862745098,0.4509803921568627,15.69,25.49,39.22,45.1
Skenario 3 (AraDPR),AraDPR (Google NMT),0.0364,0.0784313725490196,0.1176470588235294,0.2156862745098039,0.3529411764705882,7.84,11.76,21.57,35.29
