,MRR,MRR,MRR,Success@10 (%),Success@10 (%),Success@10 (%),Success@100 (%),Success@100 (%),Success@100 (%),Success@20 (%),Success@20 (%),Success@20 (%),Success@50 (%),Success@50 (%),Success@50 (%)
Skenario,1. BM25 (Sparse),2. Cross-Lingual (Dense),3. AraDPR (Monolingual),1. BM25 (Sparse),2. Cross-Lingual (Dense),3. AraDPR (Monolingual),1. BM25 (Sparse),2. Cross-Lingual (Dense),3. AraDPR (Monolingual),1. BM25 (Sparse),2. Cross-Lingual (Dense),3. AraDPR (Monolingual),1. BM25 (Sparse),2. Cross-Lingual (Dense),3. AraDPR (Monolingual)
Model,,,,,,,,,,,,,,,
AraDPR (Gemini LLM),,,0.1437,,,28.76,,,70.59,,,37.91,,,54.25
AraDPR (Google NMT),,,0.0685,,,17.65,,,60.78,,,28.76,,,45.75
BM25 (Gemini LLM),0.3568,,,56.21,,,90.2,,,65.36,,,77.78,,
BM25 (Google NMT),0.1562,,,26.8,,,66.01,,,33.99,,,53.59,,
BM25+RM3 (Gemini LLM),0.3602,,,56.86,,,90.2,,,66.67,,,82.35,,
BM25+RM3 (Google NMT),0.1586,,,30.72,,,67.97,,,40.52,,,52.94,,
Baseline (DistilBERT Base),,0.0149,,,1.96,,,31.37,,,5.88,,,13.73,
Baseline (mmBERT-base),,0.0127,,,1.31,,,28.76,,,4.58,,,15.03,
Baseline (mmBERT-small),,0.0167,,,1.96,,,29.41,,,9.8,,,17.65,
DistilBERT Base Fine-Tuned (JH-POLO),,0.1853,,,35.29,,,71.9,,,45.75,,,59.48,
mmBERT-base Fine-Tuned (JH-POLO),,0.2976,,,50.98,,,84.31,,,59.48,,,67.32,
mmBERT-small Fine-Tuned (JH-POLO),,0.259,,,41.83,,,71.9,,,49.67,,,62.09,
